geofips,geoname,timeperiod,employment,GDP
998,United States (Metropolitan Portion),1969,76332672,
998,United States (Metropolitan Portion),1970,76529096,
998,United States (Metropolitan Portion),1971,76690968,
998,United States (Metropolitan Portion),1972,78994384,
998,United States (Metropolitan Portion),1973,82553136,
998,United States (Metropolitan Portion),1974,83976312,
998,United States (Metropolitan Portion),1975,82932952,
998,United States (Metropolitan Portion),1976,85068712,
998,United States (Metropolitan Portion),1977,88085984,
998,United States (Metropolitan Portion),1978,92211160,
998,United States (Metropolitan Portion),1979,95317560,
998,United States (Metropolitan Portion),1980,96192408,
998,United States (Metropolitan Portion),1981,97080616,
998,United States (Metropolitan Portion),1982,96574128,
998,United States (Metropolitan Portion),1983,97890712,
998,United States (Metropolitan Portion),1984,102350760,
998,United States (Metropolitan Portion),1985,105527360,
998,United States (Metropolitan Portion),1986,107959408,
998,United States (Metropolitan Portion),1987,110916488,
998,United States (Metropolitan Portion),1988,114554144,
998,United States (Metropolitan Portion),1989,116872032,
998,United States (Metropolitan Portion),1990,118697768,
998,United States (Metropolitan Portion),1991,117923088,
998,United States (Metropolitan Portion),1992,118241776,
998,United States (Metropolitan Portion),1993,120377064,
998,United States (Metropolitan Portion),1994,123222448,
998,United States (Metropolitan Portion),1995,126421592,
998,United States (Metropolitan Portion),1996,129265304,
998,United States (Metropolitan Portion),1997,132366464,
998,United States (Metropolitan Portion),1998,136021696,
998,United States (Metropolitan Portion),1999,138869840,
998,United States (Metropolitan Portion),2000,142396416,
998,United States (Metropolitan Portion),2001,142876016,11874236104704
998,United States (Metropolitan Portion),2002,142590400,12073716154368
998,United States (Metropolitan Portion),2003,143452000,12400061317120
998,United States (Metropolitan Portion),2004,146128720,12881271717888
998,United States (Metropolitan Portion),2005,149308192,13346389622784
998,United States (Metropolitan Portion),2006,152553088,13735373570048
998,United States (Metropolitan Portion),2007,155904064,13989582995456
998,United States (Metropolitan Portion),2008,155704080,13981159784448
998,United States (Metropolitan Portion),2009,150901632,13570753429504
998,United States (Metropolitan Portion),2010,150313120,13907350519808
998,United States (Metropolitan Portion),2011,153263712,14096255680512
998,United States (Metropolitan Portion),2012,155994336,14393210306560
998,United States (Metropolitan Portion),2013,159160192,14599728398336
998,United States (Metropolitan Portion),2014,162856768,14946062565376
998,United States (Metropolitan Portion),2015,166858880,15388563734528
998,United States (Metropolitan Portion),2016,169970416,15686018531328
998,United States (Metropolitan Portion),2017,172911184,16068774985728
998,United States (Metropolitan Portion),2018,176620608,16556928008192
998,United States (Metropolitan Portion),2019,178053904,16953993330688
998,United States (Metropolitan Portion),2020,172343184,16367128412160
998,United States (Metropolitan Portion),2021,177728480,
10180,"Abilene, TX (Metropolitan Statistical Area)",1969,56041,
