geofips,geoname,timeperiod,employment,nominal_GDP,GDP
0,United States,1963,,607007801344,
0,United States,1964,,650513022976,
0,United States,1965,,704697139200,
0,United States,1966,,767075024896,
0,United States,1967,,811782176768,
0,United States,1968,,887568531456,
0,United States,1969,91053200,962901704704,
0,United States,1970,91277600,1012299333632,
0,United States,1971,91581400,1097173368832,
0,United States,1972,94312200,1210292371456,
0,United States,1973,98427504,1356499779584,
0,United States,1974,100111800,1472024281088,
0,United States,1975,98900600,1602227666944,
0,United States,1976,101591200,1780497252352,
0,United States,1977,105042200,1986407694336,
0,United States,1978,109686600,2243229908992,
0,United States,1979,113147104,2489416417280,
0,United States,1980,113983200,2713932791808,
0,United States,1981,114914000,3057318100992,
0,United States,1982,114163296,3211369644032,
0,United States,1983,115645696,3445371961344,
0,United States,1984,120528096,3853668057088,
0,United States,1985,123796704,4126664032256,
0,United States,1986,126232304,4340812611584,
0,United States,1987,129548400,4649020555264,
0,United States,1988,133563904,5053003333632,
0,United States,1989,136177792,5366079291392,
0,United States,1990,138330896,5651746521088,
0,United States,1991,137612800,5842664423424,
0,United States,1992,138166096,6167643815936,
0,United States,1993,140774400,6467697508352,
0,United States,1994,144196608,6912843710464,
0,United States,1995,147915808,7299371368448,
0,United States,1996,151056192,7749965447168,
0,United States,1997,154541200,8577551958016,11529157083136
0,United States,1998,158481200,9062817202176,12045824032768
0,United States,1999,161531296,9631171608576,12623360819200
0,United States,2000,165370800,10250952376320,13138035474432
0,United States,2001,165522208,10581929099264,13263416852480
0,United States,2002,165095104,10929108418560,13488357376000
0,United States,2003,165921504,11456449871872,13865518628864
0,United States,2004,168839696,12217195954176,14399695749120
0,United States,2005,172338400,13039196700672,14901269495808
0,United States,2006,175868608,13815583342592,15315942506496
0,United States,2007,179543696,14474227482624,15623870480384
0,United States,2008,179213904,14769861951488,15642961903616
0,United States,2009,173636704,14478067367936,15236262264832
0,United States,2010,172901696,15048969814016,15648991215616
0,United States,2011,176091696,15599731212288,15891534184448
0,United States,2012,178979696,16253970284544,16253970284544
0,United States,2013,182325104,16843195547648,16553348169728
0,United States,2014,186233792,17550687600640,16932051877888
0,United States,2015,190325792,18206024531968,17390296367104
0,United States,2016,193425904,18695105544192,17680274817024
0,United States,2017,196394096,19479624941568,18079083921408
0,United States,2018,200281200,20527160754176,18606788182016
0,United States,2019,201648192,21372581445632,19032671518720
0,United States,2020,195301600,20893745020928,18384687202304
0,United States,2021,201142592,22996085374976,19427288416256
1000,Alabama,1963,,7343099904,
1000,Alabama,1964,,8219599360,
1000,Alabama,1965,,8994299904,
1000,Alabama,1966,,9847199744,
1000,Alabama,1967,,10052700160,
